epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,241.499,1.4133,1.87587,0.02771,1,0.31255,0.39657,0.14382,2.33234,2.86766,0.07076,0.00118369,0.00118369,0.00118369
43,247.295,1.50083,1.47577,0.03072,0.30289,0.47619,0.34239,0.1211,2.18865,2.36142,0.06739,0.0011719,0.0011719,0.0011719
44,253.338,1.41499,1.52798,0.02945,0.33128,0.2381,0.2497,0.11749,2.38416,2.40638,0.07953,0.00116011,0.00116011,0.00116011
45,259.158,1.28511,1.49897,0.02554,0.33128,0.2381,0.2497,0.11749,2.38416,2.40638,0.07953,0.00114832,0.00114832,0.00114832
46,265.136,1.36377,1.40557,0.02285,0.66904,0.47619,0.47897,0.15339,2.52114,2.2194,0.08289,0.00113654,0.00113654,0.00113654
47,270.263,1.26767,1.13102,0.0252,0.7251,0.46063,0.5745,0.17784,2.16193,2.78674,0.06277,0.00112475,0.00112475,0.00112475
48,275.845,1.36185,1.30071,0.02408,0.80898,0.61439,0.75743,0.29676,2.17365,2.19138,0.05928,0.00111296,0.00111296,0.00111296
49,281.044,1.27425,1.54652,0.02437,0.80898,0.61439,0.75743,0.29676,2.17365,2.19138,0.05928,0.00110117,0.00110117,0.00110117
50,286.486,1.31321,1.32585,0.02272,0.45097,0.77783,0.5527,0.27242,1.7862,2.02715,0.05222,0.00108938,0.00108938,0.00108938
51,292.571,1.52475,1.1307,0.02633,0.59284,0.64286,0.56146,0.28012,1.57665,2.09891,0.0491,0.0010776,0.0010776,0.0010776
52,299.295,1.52558,1.30652,0.03142,0.79198,0.76222,0.77271,0.30909,1.61457,1.79203,0.0513,0.00106581,0.00106581,0.00106581
53,306.552,1.53578,1.17452,0.02815,0.79198,0.76222,0.77271,0.30909,1.61457,1.79203,0.0513,0.00105402,0.00105402,0.00105402
54,314.183,1.47769,1.04343,0.02754,0.57883,0.64286,0.53454,0.24711,1.72656,1.91208,0.05322,0.00104223,0.00104223,0.00104223
55,322.903,1.5753,1.22667,0.02718,0.86249,0.50869,0.7385,0.34738,1.4725,1.98064,0.04367,0.00103044,0.00103044,0.00103044
56,331.598,1.41944,1.15567,0.02177,0.43389,0.64286,0.44377,0.21253,1.85881,1.87171,0.05966,0.00101866,0.00101866,0.00101866
57,339.048,1.33459,1.01961,0.02595,0.43389,0.64286,0.44377,0.21253,1.85881,1.87171,0.05966,0.00100687,0.00100687,0.00100687
58,346.508,1.37128,1.3339,0.02477,0.51619,0.7038,0.53219,0.22509,1.60763,2.03018,0.0528,0.00099508,0.00099508,0.00099508
59,354.914,1.48514,1.03762,0.02554,0.8583,0.69945,0.7156,0.34218,1.63528,1.56639,0.05613,0.000983292,0.000983292,0.000983292
60,362.199,1.38375,0.97596,0.02699,0.46653,0.71429,0.56563,0.24879,1.50056,1.74122,0.04718,0.000971504,0.000971504,0.000971504
61,369.443,1.20638,0.82958,0.02082,0.46653,0.71429,0.56563,0.24879,1.50056,1.74122,0.04718,0.000959716,0.000959716,0.000959716
62,378.318,1.30807,1.10214,0.02597,0.43071,0.92857,0.59582,0.24736,1.63719,1.58053,0.05285,0.000947928,0.000947928,0.000947928
63,386.35,1.36102,1.03125,0.03007,0.67493,0.70505,0.82383,0.35544,1.77384,1.45046,0.0621,0.00093614,0.00093614,0.00093614
64,394.853,1.19517,1.21877,0.02051,0.76148,0.81363,0.79829,0.39031,1.8966,1.12807,0.06414,0.000924352,0.000924352,0.000924352
65,415.847,1.31972,1.03044,0.02412,0.76148,0.81363,0.79829,0.39031,1.8966,1.12807,0.06414,0.000912563,0.000912563,0.000912563
