epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.9271,1.69507,12.7627,0.02899,0.39142,0.36751,0.2506,0.14344,1.40913,14.0328,0.03631,3.334e-05,3.334e-05,3.334e-05
2,20.5874,1.6714,11.801,0.02974,0.31612,0.38095,0.2305,0.13222,1.26686,14.1429,0.03352,8.27606e-05,8.27606e-05,8.27606e-05
3,26.1019,1.75001,16.6124,0.03941,0.36264,0.45238,0.28678,0.15419,1.23496,13.6931,0.033,0.000131474,0.000131474,0.000131474
4,33.2378,1.49827,9.25574,0.02639,0.55997,0.4494,0.53109,0.38527,0.86686,12.529,0.02296,0.00017948,0.00017948,0.00017948
5,40.9115,1.35893,7.29137,0.02364,0.67154,0.45122,0.41103,0.28936,1.23254,13.7232,0.03555,0.000226779,0.000226779,0.000226779
6,48.1299,1.25995,6.66708,0.02226,0.21342,0.54779,0.32084,0.20075,1.15019,13.8527,0.03204,0.00027337,0.00027337,0.00027337
7,54.8314,1.34624,6.27898,0.02173,0.42157,0.30952,0.39242,0.2753,1.18763,13.1643,0.03359,0.000319254,0.000319254,0.000319254
8,61.6229,1.14008,5.05439,0.02086,0.59883,0.30952,0.44625,0.34425,1.00282,12.2001,0.02985,0.000364431,0.000364431,0.000364431
9,68.1448,1.35743,5.32324,0.02506,0.52354,0.69048,0.65563,0.48561,1.05726,10.8883,0.0316,0.000408901,0.000408901,0.000408901
10,75.0119,1.19712,4.45101,0.02183,0.55175,0.61905,0.62152,0.43188,1.18591,10.8467,0.03163,0.000452663,0.000452663,0.000452663
11,81.9324,1.13254,3.94719,0.01987,0.34737,0.77921,0.5271,0.32527,1.15323,10.6271,0.03014,0.000495718,0.000495718,0.000495718
12,88.5692,1.31295,4.24039,0.02168,0.33287,0.69048,0.49396,0.27401,1.48686,9.80389,0.04237,0.000538066,0.000538066,0.000538066
13,95.1978,1.53908,3.80113,0.03192,0.47248,0.52381,0.44057,0.23196,1.60235,7.0354,0.0489,0.000579706,0.000579706,0.000579706
14,101.635,1.39426,3.46877,0.02544,0.76733,0.5,0.39284,0.2201,1.44908,5.83904,0.04245,0.00062064,0.00062064,0.00062064
15,108.11,1.39611,3.37034,0.02532,0.50028,0.66667,0.52628,0.25423,1.76045,3.70783,0.05304,0.000660865,0.000660865,0.000660865
