epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.59785,1.83651,13.0028,0.03253,0.289,0.35383,0.20399,0.11074,1.32377,14.2149,0.03372,6.668e-05,6.668e-05,6.668e-05
2,12.5817,1.92476,17.2364,0.03449,0.21907,0.44161,0.29467,0.22964,1.20633,13.5727,0.03503,0.000148792,0.000148792,0.000148792
3,17.1661,1.4512,10.7793,0.02614,0.18895,0.25195,0.3585,0.25629,1.33114,12.8734,0.04159,0.000229529,0.000229529,0.000229529
4,21.7219,1.42379,7.31237,0.02441,0.91407,0.16667,0.23849,0.18075,0.98157,11.5317,0.02563,0.000308891,0.000308891,0.000308891
5,26.066,1.43547,7.72108,0.0301,0.25254,0.43216,0.18793,0.09741,1.62588,10.5059,0.04382,0.000386877,0.000386877,0.000386877
6,30.2419,1.27951,5.82831,0.02373,0.73955,0.14286,0.21892,0.09851,1.87709,10.1536,0.04872,0.000463489,0.000463489,0.000463489
7,34.4157,1.26234,5.87931,0.02594,0.65027,0.38095,0.42043,0.27796,1.39772,8.10131,0.04356,0.000538724,0.000538724,0.000538724
8,38.5735,1.31733,4.63895,0.02496,0.57614,0.4644,0.50857,0.31012,1.23374,8.41086,0.03832,0.000612585,0.000612585,0.000612585
9,42.7078,1.32959,4.4742,0.02457,0.27198,0.83333,0.42258,0.20913,1.50655,8.01732,0.04592,0.00068507,0.00068507,0.00068507
10,46.8633,1.23822,3.8255,0.02323,0.77185,0.43872,0.65033,0.34496,1.69894,3.9151,0.04871,0.00075618,0.00075618,0.00075618
11,51.0556,1.36264,3.60471,0.02394,0.95507,0.58645,0.82771,0.39101,1.53558,3.01354,0.04042,0.000825915,0.000825915,0.000825915
12,55.3671,1.39239,3.65705,0.02706,0.65099,0.66645,0.72396,0.42946,1.47537,2.44097,0.04323,0.000894275,0.000894275,0.000894275
13,59.556,1.58177,3.03066,0.02895,0.3153,0.69596,0.50318,0.23389,1.86908,2.89854,0.05375,0.000961259,0.000961259,0.000961259
14,63.5787,1.36444,2.63955,0.0269,0.3153,0.69596,0.50318,0.23389,1.86908,2.89854,0.05375,0.00102687,0.00102687,0.00102687
15,67.7522,1.38921,2.94835,0.03047,0.54785,0.50895,0.58313,0.19133,2.10292,3.25605,0.05898,0.0010911,0.0010911,0.0010911
16,71.9425,1.54064,2.68012,0.02745,0.72539,0.33333,0.40885,0.21178,1.83976,3.2195,0.05298,0.00115396,0.00115396,0.00115396
17,76.0156,1.70911,2.54416,0.03082,0.93263,0.33333,0.37217,0.14423,1.79228,3.42975,0.05529,0.00121544,0.00121544,0.00121544
18,80.1558,1.5273,2.69981,0.02881,0.93263,0.33333,0.37217,0.14423,1.79228,3.42975,0.05529,0.00127555,0.00127555,0.00127555
19,84.2368,1.38965,2.12941,0.02989,0.39485,0.40476,0.22515,0.12215,1.58939,3.28139,0.04733,0.00133428,0.00133428,0.00133428
20,88.4146,1.26477,2.32391,0.026,0.91886,0.16667,0.26494,0.08786,2.11008,3.76165,0.06885,0.00139164,0.00139164,0.00139164
21,92.4402,1.58197,2.0921,0.03008,0.91886,0.16667,0.26494,0.08786,2.11008,3.76165,0.06885,0.00139195,0.00139195,0.00139195
22,96.5789,1.84686,2.23746,0.03769,0.95082,0.16667,0.20104,0.08219,2.45313,4.02629,0.08236,0.00137819,0.00137819,0.00137819
23,100.694,1.48689,2.12578,0.03087,0.36042,0.5395,0.34251,0.17294,2.27889,3.26042,0.06752,0.00136444,0.00136444,0.00136444
24,104.773,1.86563,1.9701,0.03605,0.36042,0.5395,0.34251,0.17294,2.27889,3.26042,0.06752,0.00135069,0.00135069,0.00135069
25,108.931,1.59936,2.01963,0.03214,0.76192,0.44645,0.54861,0.23857,2.06352,2.26795,0.06896,0.00133693,0.00133693,0.00133693
26,112.937,1.41173,1.86177,0.0272,0.76192,0.44645,0.54861,0.23857,2.06352,2.26795,0.06896,0.00132318,0.00132318,0.00132318
27,117.086,1.60425,2.18791,0.03087,0.62255,0.29893,0.47409,0.17888,1.96768,2.69204,0.06058,0.00130943,0.00130943,0.00130943
28,121.231,1.55057,1.8318,0.03042,0.86906,0.35714,0.60392,0.25277,1.63671,2.24636,0.05209,0.00129568,0.00129568,0.00129568
29,125.232,1.50368,2.1031,0.02995,0.86906,0.35714,0.60392,0.25277,1.63671,2.24636,0.05209,0.00128192,0.00128192,0.00128192
30,129.487,1.62969,2.01743,0.03193,0.49164,0.60949,0.70336,0.35227,1.51031,1.63526,0.04235,0.00126817,0.00126817,0.00126817
31,133.643,1.61266,1.96453,0.03417,0.75091,0.35714,0.68257,0.32984,1.56535,1.99391,0.04823,0.00125442,0.00125442,0.00125442
32,137.696,1.58124,1.81607,0.03397,0.75091,0.35714,0.68257,0.32984,1.56535,1.99391,0.04823,0.00124066,0.00124066,0.00124066
33,141.89,1.58348,1.90256,0.03254,0.90468,0.28571,0.6669,0.27529,1.29832,2.14216,0.04368,0.00122691,0.00122691,0.00122691
34,145.883,1.54213,1.92322,0.03173,0.90468,0.28571,0.6669,0.27529,1.29832,2.14216,0.04368,0.00121316,0.00121316,0.00121316
35,149.991,1.38656,1.86479,0.02549,0.85033,0.68685,0.83177,0.394,1.53824,1.68009,0.04504,0.00119941,0.00119941,0.00119941
36,154.056,1.49922,1.83694,0.02649,0.79472,0.47071,0.58525,0.26141,1.62554,1.91031,0.04874,0.00118565,0.00118565,0.00118565
37,158.057,1.55729,1.84782,0.03085,0.79472,0.47071,0.58525,0.26141,1.62554,1.91031,0.04874,0.0011719,0.0011719,0.0011719
38,162.108,1.4734,1.51444,0.02939,0.87924,0.6133,0.76175,0.33499,1.93565,1.38347,0.0584,0.00115815,0.00115815,0.00115815
39,166.308,1.53558,1.94239,0.03041,0.88828,0.7619,0.91344,0.34927,1.96932,1.20983,0.06133,0.0011444,0.0011444,0.0011444
40,170.294,1.48661,1.57833,0.02739,0.88828,0.7619,0.91344,0.34927,1.96932,1.20983,0.06133,0.00113064,0.00113064,0.00113064
41,174.483,1.72921,1.71079,0.03663,0.6831,0.7619,0.79142,0.28708,2.23835,1.16702,0.07185,0.00111689,0.00111689,0.00111689
42,178.63,1.49331,1.47055,0.02826,0.6831,0.7619,0.79142,0.28708,2.23835,1.16702,0.07185,0.00110314,0.00110314,0.00110314
43,182.707,1.44979,1.26213,0.0268,0.74605,0.66667,0.7685,0.28815,1.93595,1.31952,0.06079,0.00108938,0.00108938,0.00108938
44,186.789,1.34783,1.47659,0.02465,0.49953,0.63562,0.61117,0.3271,1.60836,1.42137,0.04621,0.00107563,0.00107563,0.00107563
45,190.789,1.37148,1.48677,0.02652,0.49953,0.63562,0.61117,0.3271,1.60836,1.42137,0.04621,0.00106188,0.00106188,0.00106188
46,194.944,1.52686,1.56341,0.03462,0.72167,0.59292,0.71044,0.35517,1.50336,1.45386,0.04459,0.00104813,0.00104813,0.00104813
47,199.133,1.6362,1.59951,0.03331,0.78055,0.73081,0.74765,0.42988,1.54782,1.46443,0.04941,0.00103437,0.00103437,0.00103437
48,203.134,1.47467,1.37727,0.02848,0.78055,0.73081,0.74765,0.42988,1.54782,1.46443,0.04941,0.00102062,0.00102062,0.00102062
49,207.34,1.36366,1.5796,0.02624,0.78681,0.62979,0.75961,0.41665,1.6143,1.4643,0.04984,0.00100687,0.00100687,0.00100687
50,211.317,1.30866,1.21749,0.02429,0.78681,0.62979,0.75961,0.41665,1.6143,1.4643,0.04984,0.000993115,0.000993115,0.000993115
51,215.38,1.42011,1.37271,0.02778,0.56219,0.6191,0.65515,0.41529,1.39384,1.54849,0.04382,0.000979362,0.000979362,0.000979362
52,219.428,1.43674,1.15714,0.02736,0.9399,0.599,0.81339,0.54299,1.10958,1.56564,0.0362,0.00096561,0.00096561,0.00096561
53,223.465,1.39897,1.26995,0.02635,0.9399,0.599,0.81339,0.54299,1.10958,1.56564,0.0362,0.000951857,0.000951857,0.000951857
54,227.574,1.63719,1.4387,0.03221,0.8654,0.73783,0.79502,0.55055,1.14016,1.46663,0.03439,0.000938104,0.000938104,0.000938104
55,231.874,1.28458,1.16647,0.02191,0.80991,0.59242,0.78172,0.5234,1.3128,1.19147,0.03778,0.000924352,0.000924352,0.000924352
56,235.842,1.31845,1.30069,0.02211,0.80991,0.59242,0.78172,0.5234,1.3128,1.19147,0.03778,0.000910599,0.000910599,0.000910599
57,239.95,1.45208,1.22646,0.02957,0.69165,0.71534,0.80188,0.49656,1.5352,1.03579,0.04367,0.000896846,0.000896846,0.000896846
58,243.941,1.40551,1.18452,0.02382,0.69165,0.71534,0.80188,0.49656,1.5352,1.03579,0.04367,0.000883093,0.000883093,0.000883093
59,248.213,1.57657,1.38517,0.02766,0.88073,0.67324,0.797,0.47134,1.5193,1.01602,0.04215,0.00086934,0.00086934,0.00086934
60,252.318,1.12009,1.15817,0.02237,0.8899,0.51877,0.75319,0.49774,1.28914,1.00687,0.03621,0.000855588,0.000855588,0.000855588
61,256.549,1.217,1.10728,0.02306,0.8899,0.51877,0.75319,0.49774,1.28914,1.00687,0.03621,0.000841835,0.000841835,0.000841835
62,260.64,1.28578,1.05931,0.02415,0.97464,0.66083,0.79508,0.49449,1.5051,1.01332,0.04214,0.000828082,0.000828082,0.000828082
63,264.755,1.43278,1.23071,0.02738,0.84267,0.74036,0.82382,0.49177,1.7949,0.94345,0.04973,0.000814329,0.000814329,0.000814329
